name,job,birth_date,entry_date,last_promotion_date
时伟,三级科员,1970-01-28,1995-07-19,2018-07-26
郑勇,二级科员,1970-09-17,2017-01-09,2022-05-09
昌健,三级科员,1964-10-27,1992-05-13,2003-12-27
张杰,二级科员,1990-09-03,2018-10-01,2020-11-05
华勇,处长,1977-10-31,2008-11-16,2014-10-25
和军,三级科员,2000-08-11,2020-05-14,2022-04-10
华伟,三级科员,1999-08-12,2020-06-27,2022-09-20
范伟,处长,1988-06-12,2018-01-25,2020-02-24
尹杰,处长,1989-07-21,2020-06-20,2022-11-20
陈伟,处长,1961-09-14,1992-10-20,1997-10-01
王勇,副处长,1955-07-16,1995-01-19,2021-12-23
汤俊,四级科员,1957-08-25,1999-11-19,2022-04-03
臧刚,三级科员,1959-09-23,2016-10-13,2020-09-01
余伟,三级科员,1991-11-10,2019-08-04,2022-07-23
鲍伟,三级科员,1969-08-04,2019-12-06,2022-12-25
许峰,四级科员,1978-04-18,2005-06-11,2016-09-19
袁健,三级科员,1977-09-27,2016-09-18,2018-03-20
殷勇,副处长,1963-12-18,1984-11-04,1989-09-21
和俊,二级科员,1999-11-19,2020-07-03,2022-11-03
卫勇,处长,1965-10-07,2000-10-24,2006-01-04
杨强,三级科员,1974-10-10,2002-04-09,2017-04-21
韦刚,处长,1981-03-31,2011-08-13,2021-02-04
邹伟,副处长,1986-07-13,2012-12-01,2014-05-27
孔俊,处长,1965-05-21,2001-10-13,2019-01-21
卜军,处长,1973-06-22,2019-12-07,2021-03-31
卫刚,副处长,1990-01-07,2011-07-15,2014-09-04
谈毅,四级科员,1979-02-04,2003-05-16,2012-08-15
华刚,二级科员,1975-07-30,1995-02-26,1999-12-02
禹杰,三级科员,1995-08-10,2018-07-01,2020-01-08
彭军,二级科员,1976-07-17,2013-09-27,2015-09-27
韩勇,处长,1955-02-09,1984-10-25,1991-05-13
邬杰,副处长,1955-11-18,1986-03-29,1998-08-05
