"姓名","现工作单位及职务","性别","民族","籍贯","出生年月","参加工作时间","任现职务时间","任现职级时间","入党时间","全日制学历学位","全日制毕业院校及专业","在职学历学位","在职毕业院校及专业","任二主时间"
"宋去俊","部门三\n副处长","女","汉","四川成都","1994.10","2018.09","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吴在伟","部门二\n二级科员","男","汉","四川成都","1976.02","2015.04","2019.03","2019.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"庞大健","部门五\n一级主任科员","男","汉","四川成都","1964.07","2017.10","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"昌了俊","部门五\n二级调研员","男","汉","四川成都","1969.01","2015.09","2020.05","2020.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"严起来杰","部门五\n二级科员","女","汉","四川成都","1982.08","2013.10","2018.04","2018.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郑样杰","部门三\n一级主任科员","男","汉","四川成都","1986.12","2014.08","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邵生伟","部门四\n一级主任科员","男","汉","四川成都","1996.07","2020.04","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"安样刚","部门一\n二级调研员","女","汉","四川成都","1977.05","2011.07","2013.02","2013.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"马天军","部门五\n三级调研员","男","汉","四川成都","1964.08","2007.12","2009.08","2009.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伍她健","部门四\n四级调研员","男","汉","四川成都","1979.08","2011.07","2019.01","2019.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"曹走刚","部门三\n二级科员","女","汉","四川成都","1956.03","1997.04","2008.03","2008.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"谈样军","部门二\n四级主任科员","女","汉","四川成都","1980.07","2002.04","2007.07","2007.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"廉会军","部门一\n三级调研员","女","汉","四川成都","1983.05","2009.11","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"屈她刚","部门二\n一级科员","女","汉","四川成都","1997.04","2020.11","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"凤人峰","部门一\n一级科员","女","汉","四川成都","1956.08","2009.05","2012.06","2012.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"廉做伟","部门一\n三级主任科员","男","汉","四川成都","1960.03","1983.02","1999.11","1999.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"褚样军","部门四\n二级调研员","女","汉","四川成都","1976.08","2009.03","2021.07","2021.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"齐可杰","部门四\n三级调研员","男","汉","四川成都","1969.05","2006.06","2013.10","2013.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姚这伟","部门三\n二级主任科员","女","汉","四川成都","1972.10","2011.02","2018.04","2018.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"庞本军","部门四\n一级科员","男","汉","四川成都","1962.11","2008.06","2016.07","2016.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"柳国健","部门一\n三级调研员","男","汉","四川成都","1962.11","2006.12","2009.01","2009.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孙他伟","部门一\n二级调研员","女","汉","四川成都","1979.11","2017.07","2019.03","2019.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"韦打杰","部门四\n四级主任科员","男","汉","四川成都","2000.03","2020.11","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"魏后刚","部门一\n二级调研员","女","汉","四川成都","1985.10","2009.01","2021.06","2021.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"窦中伟","部门三\n一级主任科员","男","汉","四川成都","1980.06","2011.07","2015.05","2015.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"余把健","部门二\n三级主任科员","男","汉","四川成都","1958.01","1989.10","1999.01","1999.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"曹真俊","部门五\n三级主任科员","女","汉","四川成都","1995.05","2017.02","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"明后强","部门一\n二级科员","男","汉","四川成都","1972.06","2015.04","2020.02","2020.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"卫去俊","部门一\n二级调研员","女","汉","四川成都","1958.02","2000.09","2002.01","2002.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"何时毅","部门四\n二级调研员","男","汉","四川成都","1959.05","2018.07","2022.10","2022.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"余不军","部门二\n一级主任科员","男","汉","四川成都","1978.07","2002.09","2010.01","2010.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"余后刚","部门二\n四级调研员","男","汉","四川成都","1957.06","2013.04","2018.01","2018.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郝做杰","部门三\n二级主任科员","男","汉","四川成都","1989.09","2016.06","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伍开杰","部门一\n四级主任科员","男","汉","四川成都","1989.09","2014.02","2018.02","2018.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"舒还健","部门五\n三级调研员","女","汉","四川成都","1993.09","2018.03","2021.03","2021.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"卜时勇","部门一\n二级科员","女","汉","四川成都","1978.06","2001.01","2019.05","2019.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"茅说峰","部门二\n三级调研员","女","汉","四川成都","1967.07","1999.02","2007.02","2007.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"乐起来杰","部门四\n一级科员","女","汉","四川成都","1989.11","2012.06","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"祁大伟","部门四\n三级主任科员","男","汉","四川成都","2000.03","2020.11","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伏对军","部门一\n四级调研员","男","汉","四川成都","1964.08","2002.06","2011.05","2011.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吕把健","部门四\n二级调研员","女","汉","四川成都","1988.10","2019.05","2022.07","2022.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"凤大健","部门一\n三级调研员","女","汉","四川成都","1970.04","2009.02","2022.07","2022.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"乐后杰","部门四\n三级主任科员","女","汉","四川成都","1957.12","2008.04","2011.03","2011.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"茅地刚","部门二\n三级主任科员","女","汉","四川成都","1962.06","1999.06","2012.10","2012.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孟好刚","部门二\n二级主任科员","男","汉","四川成都","1984.08","2007.10","2012.01","2012.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"钱再健","部门二\n四级调研员","男","汉","四川成都","1990.12","2015.02","2021.04","2021.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"平都峰","部门二\n三级主任科员","男","汉","四川成都","1983.08","2006.01","2013.06","2013.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"穆会峰","部门一\n三级主任科员","男","汉","四川成都","1996.09","2020.03","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"湛她刚","部门五\n二级调研员","男","汉","四川成都","1971.10","1997.11","2004.11","2004.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"倪以健","部门二\n四级调研员","男","汉","四川成都","1994.12","2014.07","2017.06","2017.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"秦好军","部门二\n二级科员","女","汉","四川成都","1982.04","2003.04","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"梁出军","部门二\n一级主任科员","男","汉","四川成都","1971.03","2017.07","2019.06","2019.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"顾就毅","部门三\n三级调研员","女","汉","四川成都","1966.12","1991.02","2012.03","2012.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"金总军","部门五\n一级主任科员","男","汉","四川成都","1964.09","2013.10","2016.12","2016.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺还峰","部门四\n四级主任科员","男","汉","四川成都","1982.11","2016.05","2021.11","2021.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"傅来刚","部门五\n副处长","男","汉","四川成都","2000.07","2020.10","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"酆的刚","部门五\n四级主任科员","女","汉","四川成都","1986.03","2013.01","2016.03","2016.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲁了强","部门四\n二级科员","女","汉","四川成都","1968.10","1995.03","2016.01","2016.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吴时杰","部门二\n二级科员","男","汉","四川成都","1960.04","1985.06","2001.10","2001.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"魏使刚","部门四\n二级主任科员","女","汉","四川成都","1996.06","2019.11","2021.10","2021.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"冯开毅","部门一\n二级科员","男","汉","四川成都","1963.01","1988.10","2003.08","2003.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"水子军","部门四\n二级调研员","女","汉","四川成都","1972.07","2008.06","2013.09","2013.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"宋听俊","部门一\n副处长","女","汉","四川成都","1973.06","2013.12","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"赵可军","部门二\n二级调研员","女","汉","四川成都","1983.03","2008.07","2012.02","2012.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"卫个健","部门五\n一级主任科员","女","汉","四川成都","1960.08","1981.04","2010.09","2010.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊打勇","部门五\n四级主任科员","男","汉","四川成都","1986.05","2019.05","2022.08","2022.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"费那毅","部门三\n四级调研员","男","汉","四川成都","1977.05","2009.02","2020.06","2020.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲍真峰","部门二\n三级调研员","女","汉","四川成都","1991.01","2014.02","2020.09","2020.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"尤听强","部门二\n三级调研员","女","汉","四川成都","1961.08","2012.06","2018.05","2018.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"王是毅","部门二\n三级调研员","女","汉","四川成都","1968.05","2001.07","2003.04","2003.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孙听军","部门三\n四级调研员","女","汉","四川成都","1981.08","2011.01","2018.05","2018.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贝使健","部门四\n一级主任科员","男","汉","四川成都","1959.10","2005.09","2021.05","2021.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊把强","部门一\n四级调研员","男","汉","四川成都","1991.01","2011.05","2013.04","2013.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"平和毅","部门五\n一级主任科员","男","汉","四川成都","1996.10","2020.08","2022.10","2022.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺不刚","部门二\n四级主任科员","男","汉","四川成都","1985.03","2007.07","2015.12","2015.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"禹上勇","部门二\n三级主任科员","男","汉","四川成都","1960.05","2005.09","2019.09","2019.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"和做勇","部门四\n二级调研员","女","汉","四川成都","1964.07","2003.08","2014.01","2014.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺来杰","部门五\n一级主任科员","女","汉","四川成都","2000.05","2020.04","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"张好勇","部门三\n三级调研员","男","汉","四川成都","1974.03","1996.01","2006.03","2006.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"唐只健","部门一\n四级调研员","男","汉","四川成都","1989.12","2012.07","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吴你强","部门二\n一级科员","男","汉","四川成都","1969.12","1996.07","1999.02","1999.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲁道峰","部门四\n一级科员","女","汉","四川成都","1996.07","2020.04","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"陶为伟","部门三\n二级科员","男","汉","四川成都","1970.11","2020.11","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"章去勇","部门一\n三级主任科员","女","汉","四川成都","1986.04","2015.06","2019.09","2019.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伏这俊","部门二\n二级主任科员","女","汉","四川成都","2000.01","2020.01","2022.05","2022.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"凤上健","部门三\n四级调研员","男","汉","四川成都","1967.02","1994.02","2020.04","2020.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伏见伟","部门二\n四级主任科员","女","汉","四川成都","1998.08","2019.05","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"齐再健","部门四\n二级主任科员","男","汉","四川成都","1972.12","2013.12","2017.11","2017.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"任有健","部门二\n三级主任科员","女","汉","四川成都","1963.11","1985.07","1993.11","1993.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邬的峰","部门四\n二级主任科员","男","汉","四川成都","1973.07","2015.05","2022.12","2022.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"滕不勇","部门三\n一级主任科员","男","汉","四川成都","1987.12","2009.11","2017.04","2017.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"唐来刚","部门三\n二级主任科员","男","汉","四川成都","1965.11","1994.12","1998.02","1998.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"傅在伟","部门一\n四级调研员","男","汉","四川成都","1977.03","2005.04","2016.06","2016.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邹上勇","部门三\n三级调研员","女","汉","四川成都","1955.08","2012.10","2020.10","2020.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"舒能军","部门五\n二级主任科员","男","汉","四川成都","1988.06","2019.12","2022.03","2022.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"明开强","部门四\n处长","女","汉","四川成都","1989.12","2020.07","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"米可军","部门三\n一级主任科员","女","汉","四川成都","1976.03","2006.01","2020.07","2020.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"于使杰","部门五\n二级主任科员","男","汉","四川成都","1982.12","2018.07","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"屈故俊","部门五\n二级调研员","女","汉","四川成都","1991.02","2020.03","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"陈就健","部门一\n四级调研员","男","汉","四川成都","1986.02","2010.04","2016.08","2016.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"米下刚","部门二\n四级调研员","女","汉","四川成都","1963.08","2009.08","2012.12","2012.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"康着勇","部门一\n四级调研员","女","汉","四川成都","1988.05","2008.08","2013.10","2013.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吕开毅","部门三\n四级调研员","女","汉","四川成都","1971.04","1995.03","2014.06","2014.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊以健","部门四\n处长","男","汉","四川成都","1967.07","1989.01","1993.09","1993.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺为刚","部门五\n一级主任科员","男","汉","四川成都","1995.01","2015.03","2018.06","2018.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"伏能杰","部门五\n三级调研员","女","汉","四川成都","1999.01","2019.05","2021.10","2021.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"熊后峰","部门一\n三级调研员","男","汉","四川成都","1993.11","2014.10","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"李总峰","部门二\n四级主任科员","男","汉","四川成都","1977.04","2003.08","2011.11","2011.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"李里伟","部门四\n二级主任科员","女","汉","四川成都","1975.10","2005.12","2013.07","2013.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"魏把强","部门三\n四级调研员","女","汉","四川成都","1980.10","2011.03","2019.07","2019.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"喻本勇","部门二\n二级主任科员","女","汉","四川成都","1984.11","2016.11","2020.01","2020.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"安本杰","部门二\n二级调研员","男","汉","四川成都","1984.10","2015.10","2018.04","2018.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲍我强","部门五\n二级主任科员","男","汉","四川成都","1960.05","2005.08","2011.02","2011.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"谢还刚","部门二\n一级主任科员","女","汉","四川成都","1994.09","2019.03","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"昌学军","部门五\n三级调研员","男","汉","四川成都","1973.10","2002.02","2004.07","2004.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"严中军","部门二\n三级调研员","男","汉","四川成都","1973.04","1996.12","2006.09","2006.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"罗时军","部门四\n四级主任科员","男","汉","四川成都","2000.09","2020.10","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"于这强","部门五\n三级调研员","男","汉","四川成都","1986.08","2013.05","2016.09","2016.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郑会峰","部门二\n一级主任科员","男","汉","四川成都","1998.04","2019.09","2022.09","2022.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"平起峰","部门四\n四级调研员","女","汉","四川成都","1987.09","2016.11","2020.08","2020.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"褚好刚","部门五\n一级科员","女","汉","四川成都","1964.05","2016.03","2020.06","2020.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲍说毅","部门四\n一级主任科员","女","汉","四川成都","1963.02","1983.08","1998.08","1998.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苗把健","部门四\n三级调研员","男","汉","四川成都","1999.05","2020.07","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺得刚","部门二\n三级主任科员","女","汉","四川成都","1973.04","2012.10","2021.09","2021.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"任你刚","部门四\n三级主任科员","男","汉","四川成都","1977.09","2013.10","2022.01","2022.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吕只杰","部门二\n三级主任科员","男","汉","四川成都","1983.08","2003.08","2006.01","2006.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"张了健","部门五\n一级科员","女","汉","四川成都","1966.08","2002.03","2022.02","2022.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"张样强","部门三\n处长","女","汉","四川成都","1963.09","2018.06","2021.02","2021.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"何把军","部门三\n二级调研员","男","汉","四川成都","1967.05","1997.04","1999.05","1999.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"纪是军","部门三\n二级调研员","男","汉","四川成都","1958.02","1979.02","1998.11","1998.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"窦着军","部门三\n二级主任科员","男","汉","四川成都","1962.03","2019.12","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"孙开伟","部门二\n一级主任科员","男","汉","四川成都","1979.02","2004.12","2012.05","2012.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"谈就伟","部门三\n三级主任科员","女","汉","四川成都","1986.09","2012.04","2015.02","2015.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"卜人伟","部门一\n三级高级主办","男","汉","四川成都","1958.03","2012.01","2021.03","2021.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"李为刚","部门一\n二级高级主办","女","汉","四川成都","1994.12","2019.12","2021.01","2021.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吴说话健","部门五\n一级主办","男","汉","四川成都","1990.06","2017.05","2019.04","2019.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"于开毅","部门二\n三级主办","男","汉","四川成都","1987.11","2010.04","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"方后强","部门四\n一级行政执法员","女","汉","四川成都","1955.12","1980.02","2020.01","2020.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"和生军","部门二\n四级高级主办","男","汉","四川成都","1971.07","2007.10","2013.06","2013.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"尤她健","部门五\n三级高级主办","女","汉","四川成都","1997.11","2017.01","2021.05","2021.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"曹大杰","部门一\n三级高级主办","男","汉","四川成都","1977.11","2006.06","2017.11","2017.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"凤的刚","部门五\n二级主办","男","汉","四川成都","1998.10","2020.12","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"云打健","部门三\n四级高级主办","女","汉","四川成都","1978.12","2013.08","2016.09","2016.09","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"朱到刚","部门三\n三级主办","女","汉","四川成都","1996.05","2019.08","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"严把强","部门二\n四级主办","女","汉","四川成都","1957.03","2019.03","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"郑本强","部门二\n一级高级主办","男","汉","四川成都","1981.10","2004.09","2006.06","2006.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"吕了健","部门五\n支队长","男","汉","四川成都","1977.12","2012.12","2020.01","2020.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"苏把军","部门四\n三级高级主办","女","汉","四川成都","1976.07","2011.01","2016.11","2016.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"葛能军","部门三\n四级高级主办","男","汉","四川成都","1969.11","2015.06","2020.07","2020.07","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"唐了健","部门二\n二级高级主办","男","汉","四川成都","1976.12","2016.09","2018.03","2018.03","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"谈到军","部门五\n一级行政执法员","女","汉","四川成都","1965.01","2019.07","2021.08","2021.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"韦个健","部门一\n三级主办","男","汉","四川成都","1992.06","2015.01","2019.05","2019.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"姚着强","部门五\n一级行政执法员","男","汉","四川成都","1976.04","2020.11","2022.06","2022.06","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"皮做军","部门一\n二级主办","男","汉","四川成都","1955.03","2002.02","2007.08","2007.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"张我刚","部门五\n三级主办","女","汉","四川成都","1963.10","2017.11","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"魏把峰","部门三\n三级主办","男","汉","四川成都","1996.08","2016.03","2018.01","2018.01","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"祝去勇","部门一\n四级高级主办","女","汉","四川成都","1994.06","2014.08","2021.10","2021.10","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"赵会刚","部门四\n一级主办","男","汉","四川成都","1969.06","2014.10","2019.08","2019.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"汤把健","部门四\n三级高级主办","男","汉","四川成都","1989.08","2020.09","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"鲍还强","部门四\n四级主办","男","汉","四川成都","1987.01","2012.06","2014.02","2014.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"罗地军","部门四\n一级主办","男","汉","四川成都","1995.06","2020.03","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"平好强","部门五\n二级高级主办","男","汉","四川成都","1970.01","2012.09","2014.02","2014.02","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邹总军","部门四\n一级主办","男","汉","四川成都","1996.07","2019.01","2022.08","2022.08","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"秦里毅","部门五\n一级主办","男","汉","四川成都","1994.09","2016.10","2022.12","2022.12","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"施他伟","部门五\n一级行政执法员","女","汉","四川成都","1993.06","2020.11","2022.11","2022.11","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"王出强","部门四\n一级主办","男","汉","四川成都","1979.09","2018.08","2022.04","2022.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"邹总强","部门四\n三级主办","女","汉","四川成都","1997.12","2017.10","2021.05","2021.05","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
"贺可伟","部门三\n一级行政执法员","女","汉","四川成都","1993.08","2017.03","2019.04","2019.04","1997.02","大学法学学生","xx学院xx专业","大学","xx大学xx专业",""
